title,content,sumber,date
Aturan Baru Sri Mulyani: Gaji Minimal Rp 5 Juta Kena Pajak 5 Persen,"KOMPAS.com -Pemerintah dan DPR mengubah batas penghasilan kena pajak (PKP) bagi masyarakat Indonesia. Perubahan ini tertuang di Undang-Undang Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan (HPP).
Aturan ini kemudian diperjelas dalam Peraturan Pemerintah Nomor 55 Tahun 2022 tentang Penyesuaian Pengaturan di Bidang PPh.
Dengan regulasi baru, ada pelebaran untuk lapisan penghasilan paling bawah dan penambahan lapisan dengan tarif baru bagi mereka dengan penghasilan tinggi.
""Yang menjadi objek pajak adalah penghasilan, yaitu setiap tambahan kemampuan ekonomis yang diterima atau diperoleh wajib pajak, baik yang berasal dari Indonesia maupun dari luar Indonesia, yang dapat dipakai untuk konsumsi atau untuk menambah kekayaan wajib pajak yang bersangkutan dengan nama dan dalam bentuk apapun,""tulis PP Nomor 55 Tahun 2022 tersebut.
Baca juga:Wacana Tarif KRL Khusus Orang Kaya di 2023, Menhub: Bisa Rp 15.000
Pengenaan pajak terhadap gaji karyawan sebenarnya bukan aturan baru, melainkan aturan sejak terbitnya UU Nomor 36 Tahun 2008 tentangPajak Penghasilan. Justru di UU HPP, layer ataubracketpenghasilan kena pajak tersebut diubah agar lebih adil, dengan cara menaikkan batas atas penghasila kena pajak (PKP) pada layer 1.
Sebelumnya, penghasilan kena pajak (PKP) layer 1 hanya sampai dengan Rp 50 juta per tahun dikenakan tarif PPh sebesar 5 persen. Kini, PKP sampai Rp 60 juta per tahun bisa dikenakan layer 1 dengan tarif 5 persen.
Aturan baru lainnya adalah penambahan layer kelima yang sebelumnya tidak dikenal. Layer kelima adalah layer untuk orang kaya yang memiliki penghasilan di atas Rp 5 miliar per tahun, dikenakan PPh sebesar 35 persen
Sebelum masuk ke simulasi penghitungan pajak untuk karyawan dengan gaji Rp 5 juta per bulan, terlebih dahulu perlu dipahami adanya aturan soal penghasilan tidak kena pajak atau PTKP.
Jadi, tidak semua orang yang punya gaji dari sebuah perusahaan atau dari sumber lainnya akan dikenai pajak. Gaji atau penghasilan di bawah ketentuan PTKP tak dikenai pajak.
PTKP diset di angka Rp 4,5 juta per bulan atau Rp 54 juta per tahun. Artinya, pekerja dengan penghasilan maksimal Rp 4,5 juta per bulan atau akumulasi Rp 54 juta per tahun tidak dikenakan PPh karena penghasilannya masuk dalam Penghasilan Tidak Kena Pajak (PTKP).
Pajak baru bisa dikenakan pada pekerja atau karyawan yang memiliki gaji melebihi PTKP wajib pajak pribadi yang saat ditetapkan sebesar Rp 54 juta per tahun (Rp 4,5 juta per bulan).
Sederhananya, seorang pekerja atau karyawan bisa dikenaipajak penghasilanjika gajinya dalam sebulan di atas Rp 4,5 juta (di atas PTKP). Besarnya tarif bersifat progresif yang terbagi dalam lima layer tarif. Untuk gaji Rp 4,5 juta per bulan sampai Rp 9,5 juta per bulan, masuk dalam skema tarif layer pertama yaitu5 persen per tahun(bukan per bulan).
Namun, penghitungan pajak tidak langsung mengalikan gaji per tahun dengan tarif 5 persen. Gaji atau penghasilan yang bisa dikenai pajak harus dikurangi dulu angka PTKP yaitu Rp 4,5 juta jika dihitung per bulan atap Rp 54 juta jika dihitung per tahun. Sisanya merupakan PKP yang baru dikalikan dengan tarif pajaknya.
Aturan lain yang baru adalah terkait layering tarif PPh di layer kedua atau layer dengan tarif 15 persen. Tarif PPh 15 persen yang semula dikenakan untuk wajib pajak dengan penghasilan akumulasi gaji setahun di atas Rp 50 juta sampai Rp 250 juta, kini diubah menjadi untuk penghasilan di atas Rp 60 juta sampai Rp 250 juta.
Baca juga:Andai PNS Aktif Meninggal Dunia, Ahli Warisnya Dapat Apa?
""Perubahan lapisan tarif PPh untuk melindungi masyarakat berpenghasilan menengah bawah. Banyak masyarakat di kelompok menengah bawah justru beban pajaknya lebih turun,"" kata Menteri KeuanganSri MulyaniIndrawati dikutip dariKompas TV,Sabtu (31/12/2022).
Baca juga:Cara Top Up ShopeePay lewat BCA Mobile, ATM, dan Klik BCA",Kompas,2022-12-31
Paus Benediktus XVI Meninggal Dunia di Usia 95 Tahun,"VATIKAN, KOMPAS.com -MantanPaus Benediktus XVI meninggaldunia di usia 95 tahun pada Sabtu (31/12/2022).
Paus Benediktus meninggaldi kediamannya setelah kesehatannya dikabarkan terus memburuk belakangan ini.
Namun, Vatikan sempat menyebutPaus BenediktusXVI dalam kondisi ""stabil"" dan bisa beristirahat dengan baik.
Baca juga:Update Kondisi Paus Benediktus XVI: Stabil dan Kembali Ikuti Misa dari Kamarnya
Vatikan mengatakan dalam sebuah pernyataan, ""Dengan rasa duka, kami memberi tahu Anda bahwa Paus Emeritus, Benediktus XVI, meninggal dunia hari ini pukul 09.34 di Biara Mater Ecclesiae di Vatikan”.
""Informasi lebih lanjut akan diberikan sesegera mungkin,"" tambah pernyataan Vatikan pada Sabtu, sebagaimana dikutip dariBBC.
Mantan Paus Benediktus meninggal dunia setelah hampir satu dekade dia mengundurkan diri karena sakit.
Dia memimpin Gereja Katolik Roma selama kurang dari delapan tahun hingga pada 2013 dirinya menjadi Paus pertama yang mengundurkan diri sejak Gregorius XII pada 1415.
Benediktus menghabiskan tahun-tahun terakhirnya di biara Mater Ecclesiae di dalam tembok Vatikan.
Baca juga:Kondisi Paus Benediktus XVI Serius tapi Stabil
Penggantinya, Paus Fransiskus, mengatakan Paus Benediktus sering mengunjunginya di sana.
Meskipun Paus Benediktus telah sakit selama beberapa waktu, Tahta Suci mengatakan kondisinya semakin memburuk karena usia lanjut.
Pada Rabu (28/12/2022), Paus Fransiskus mengimbau jemaat dalam pertemuan umum Vatikan untuk melakukan doa khusus bagi Paus Emeritus Benediktus.
Dalam kesempatan itu, Pus Fransiskus menyampaikan bahwa Paus Benediktus sedang sakit parah.
Lahir di Jerman, Benediktus berusia 78 tahun ketika pada tahun 2005 dia menjadi salah satu paus tertua yang pernah terpilih.
Baca juga:Paus Benediktus Sakit Parah, Paus Fransiskus Meminta Doa",Kompas,2022-12-31
"Kondisi Indra Bekti Menurun, Penglihatan Kabur dan Tensi Darah Naik","JAKARTA, KOMPAS.com -Adik presenterIndra Bekti, Cipta, menyebut kondisi kakaknya menurun pada Sabtu (31/12/2022) siang.
Cipta menyebut penglihatan Indra Bekti agak kabur dan tensi darahnya naik.
""Memang ada update dari Kak Dilla itu Bang Indra penglihatannya agak sedikit kabur, kemudian tensi darahnya juga lagi naik lagi,"" kata Cipta ditemui di RS Abdi Waluyo Menteng, Jakarta Pusat, Sabtu.
Baca juga:Kabar Indra Bekti, Siuman Lebih Cepat hingga Bisa Makan Tanpa Alat Bantu
""Insya Allah besok akan ada observasi lanjutan dari pihak rumah sakit dan dokter,"" lanjutnya.
Cipta mengatakan penyebab menurunnya kondisi Indra Bekti belum diketahui. Keluarga masih menunggu penjelasan dari pihak medis.
""Jadi kalau untuk (penyebab) itu dari Kak Dilla sendiri mungkin belum ketemu dokter hari ini, hanya keluhan dari Bang Indra yang disampaikan ke Dilla,"" ucap Cipta.
Baca juga:[POPULER HYPE] iKON Tinggalkan YG Entertainment | Alasan Norma Risma Menikah dengan R | Kondisi Indra Bekti
Saat ini, ruang ICU tempat Indra Bekti dirawat juga sudah dibatasi untuk umum.
Indra Bekti hanya boleh dijaga oleh istrinya, Aldilla Jelita.
""Saat ini kan kalau saya belum bisa menemui langsung. Sudah sangat dibatasi untuk yang bisa melihat langsung Bang Indra. Jadi kami hanya dapat updatenya dari Kak Dilla,"" ujar Cipta.
Baca juga:Reaksi Pertama Indra Bekti Saat Siuman Setelah Sempat Tidak Sadarkan Diri
Diketahui, Indra Bekti terbaring di rumah sakit Abdi Waluyo, Menteng, Jakarta Pusat sejak Rabu (28/12/2022).
Bekti telah menjalani dua kali operasi setelah pembuluh darah kepala sebelah kirinya pecah.
Sebelumnya, Bekti sudah bisa makan tanpa alat bantu dan berkomunikasi seperti biasa.",Kompas,2022-12-31
"Aldila Jelita Dikritik Usai Buka Donasi untuk Biaya Rumah Sakit Indra Bekti, Kenapa?","JAKARTA, KOMPAS.com- Istri presenterIndra Bekti,Aldila Jelitamendadak banjir kritikan setelah membuka penggalangan dana untuk suaminya.
Dalam unggahan yang telah dihapus itu, Aldila meminta bantuan untuk suaminya.
Namun tak berselang lama, unggahan tersebut dihapus oleh Aldila Jelita.
Sebelumnya, dalam jumpa pers di rumah sakit Abdi Waluyo, Menteng, Aldila juga menyampaikan niat untuk membuka penggalangan dana itu.
Baca juga:Aldilla Jelita Akan Galang Dana untuk Biaya Rumah Sakit Indra Bekti
""Aku mau memberi tahu kalau kami lagi agak berat, kami lagi usahakan banget. Kami lagi ingin buka penggalangan dana untuk Mas Bekti, tampaknya 20 hari ke depan Mas Bekti akan di sini,"" kata Aldila saat ditemui di rumah sakit Abdi Waluyo Menteng, Jakarta Pusat, Sabtu (31/12/2022).
""Biayanya sudah sangat besar di hari keempat ini. Aku sudah broadcast ke beberapa teman, alhamdulillah, ada beberapa yang sudah memberikan kebaikan dan keikhlasannya, alhamdulillah,"" ujar Aldila.
Meskipun telah dihapus, istri Indra Bekti itu mendapat banyak kritik dari netizen.
Baca juga:Kondisi Indra Bekti Menurun, Aldila Jelita: Plis, Kamu Kuat Sayang
Banyak yang menyayangkan tindakan Aldila Jelita dengan membuka donasi tak lama setelah Indra Bekti dirawat di rumah sakit.
""Minimal turunin kelas ruangannya lah mbak, biar biaya enggak trlalu membengkak, masak netizen nyumbang ke orang yang kamarnya aja vip,""tulis @goo.rimi.
""Hebat ya Kak Denada, demi biaya rumah sakit anaknya rela menjual aset-asetnya tanpa minta galang dana,""tulis @meyshahanna.
""Seharusnya usaha dulu, pasti punya aset-aset kan yang bisa dijual,""tulis @anggun_syr.
""Mbak enggak malu ya minta penggalangan dana seperti itu... Kayak mas Bekti off jadi artis berpuluh-puluh tahun.. Kemarin-kemarin Kan masih wari wiri di tv youtube.. Masak iya sampai enggak bisa bayar biaya rumah sakit,""tulis @exacode_19.
""Hasil kerja selama ini kemana Bun, coba lihat diluar sana yang sakit yang butuh dana lebih.. mending sekalian pake BPJS saja,""tulis @rikalisnawt_ril.
Sementara itu dalam unggahan terbaru di Instagram Story-nya, Aldila Jelita tampak hanya menulis pesan yang ditujukan pada netizen.
""Terima kasih kepada netizen dermawan yang berhati baek atas kebaekannya untuk kesehatan suamiku @indrabekti. Doa terbaek untuk kalian,""tulis Dila.",Kompas,2023-01-01
"Banjir Semarang Telan Korban Jiwa, Dua Mahasiswa Tewas Tersengat Listrik Jelang Tahun Baru 2023","KOMPAS.com- Dua mahasiswa tewas akibat tersengat listrik saat melintasi lokasi banjir di Jalan Kapas Timur III RT 02 RW 08, Kelurahan Gebangsari, Kecamatan Genuk, Kota Semarang, Jawa Tengah (Jateng), pada Sabtu (31/12/2022) sekitar pukul 22.30 WIB.
Adapun kedua mahasiswa yang menjadi korban itu adalah Dinda Shefira Angelita (19), warga Desa Jatibogor, Kecamatan Surodadi, Kabupaten Tegal, serta Muh Kevin Nabeel (19), warga Kembang Tubanan, Jepara.
Kapolsek Genuk, Kompol Ris Andrian Yudo Nugroho mengatakan, kedua korban yang ditemukan meninggal dunia di lokasi kejadian langsung dibawa ke RSUP dr. Kariadi untuk menjalani pemeriksaan lebih lanjut.
""Sekitar pukul 00.05 WIB, korban dibawa ke RSUP dr. Kariadi dengan menggunakan mobil ambulance H -1149-SP untuk dilakukan pemeriksaan lebih lanjut,"" kata Ris, dikutip dariTribunnews.com,Minggu (1/1/2023).
Baca juga:Semarang Masih Banjir, 4 Perjalanan KA Dibatalkan dan Ada 10 Perubahan Rute
Ris menjelaskan, menurut keterangan warga yang menjadi saksi peristiwa naas tersebut, awalnya tampak kilatan listrik yang diikuti suara orang berteriak keras.
Warga itu pun memutuskan keluar rumah untuk mencari tahu yang sedang terjadi. Barulah saat itu dia melihat dua orang telah terjatuh ke dalam air.
Saat hendak menolong korban, warga curiga ada aliran listrik usai melihat adanya kabel putus yang jatuh ke air banjir.
Saksi kemudian memilih untuk melaporkan kejadian tersebut kepada pihak kepolisian agar segera memberi pertolongan.
""Intinya saksi dengar orang teriak, terus, tahu-tahu sudah terapung, (korban) jalan kaki,"" ujar Ris.
Baca juga:Banjir Semarang, KA Kamandaka Relasi Purwokerto-Semarang Batal Diberangkatkan
Dua orang mahasiswa Semarang yang menjadi korban tersengat listrik di lokasi banjir itu disebut akan berkumpul di rumah temannya untuk merayakan Tahun Baru 2023.
""Pada hari Sabtu, tanggal 31 Desember 2022 sekitar pukul 20.00 WIB, korban meminta izin kepada Ibu Kos untuk pergi keluar, ke rumah temannya, untuk kegiatan bakar-bakaran,"" tandasnya.",Kompas,2023-01-01
Daftar Negara Hendak dan Terapkan Aturan Khusus bagi Pengunjung Asal China di Tengah Ledakan Covid-19,"JAKARTA, KOMPAS.com– Sejumlah negara memberlakukan sejumlah aturan khusus kepada para pengunjung dariChinadi tengah ledakan kasusCovid-19di sana.
Dari AS hingga Jepang, negara-negara ini khawatir kemunculan varian baru dari ledakan kasus Covid-19 di China yang terus berlanjut.
Sejauh ini, belum ada laporan varian terbar. Akan tetapi, ada kekhawatiran yang meluas atas kurangnya informasi dan data dari China.
Dilansir dariAl JazeeradanReuters, berikut sejumlah negara yang sudah memberlakukan aturan khusus bagi para pengunjung dari China per 31 Desember.
Baca juga:Bola Api Terlihat di Langit China, Ternyata 4,6 Miliar Tahun Lebih Tua dari Batuan Bumi
Kementerian Kesehatan Israel mengatakan akan memberlakukan tes Covid-19 bagi calon pengunjung yang bertolak dari dari China.
Mulai 5 Januari, AS akan mewajibkan tes Covid-19 bagi pengunjung dari China. Semua penumpang pesawat berusia dua tahun ke atas wajib menunjukkan hasil tes negatif Covid-19 tidak lebih dari dua hari sebelum keberangkatan dari China, Hong Kong, atau Makau.
Pusat Pengendalian dan Pencegahan Penyakit (CDC) AS mengimbai warganya untuk mempertimbangkan kembali rencananya jika berencana mengunjungi China, Hong Kong, dan Makau.
Baca juga:Alasan WHO Desak China Bagikan Informasi Spesifik Terkait Lonjakan Covid-19
Korea Selatan menerapkan sejumlah aturan bagi pengunjung dari China di tengah lonjakan kasus Covid-19 di “Negeri Panda”.
Seoul memberlakukanpembatasanvisa, membatasi penerbangan dari China, dan mensyaratkan pengetesan Covid-19 bagi pengunjung dari China.
Wisatawan dari China harus menunjukkan hasil tes negatif Covid-19 pada saat kedatangan di Jepang.
Mereka yang positif akan dikarantina selama tujuh hari di fasilitas yang ditunjuk dan sampelnya akan digunakan untuk analisis genom.
Baca juga:Giliran Perancis, Inggris, dan Spanyol Wajibkan Tes Covid-19 bagi Pelancong dari China
Malaysia mengumumkan akan melakukan skrining untuk semua pengunjung yang masuk negara tersebut.
“Negeri Jiran” juga akan melakukan pengetesan terhadap air limbah dari pesawat yang tiba dari China.
Petugas akan melakukan pemeriksaan suhu tubuh untuk semua pengunjung, termasuk yang dari China. Jika ada yang terdeteksi demam, mereka akan dites Covid-19.
Mulai 1 Januari, Taiwan akan mulai melakukan tes Covid-19 bagi pengunjung dari China.",Kompas,2023-01-01
"Aksi Masuk Gorong-gorong Dianggap Pencitraan oleh Warganet, Ini Tanggapan Santai Gibran","SOLO, KOMPAS.com- Wali KotaSoloGibranRakabuming Raka menanggapi cuitan warganet yang menyinggung aksipencitraanmasuk gorong-gorong.
Hal ini berawal saat netizen, me-mentionakun Gibran Rakabuming Raka di media sosial Twitter @gibran_tweet, yang memuji  aksinya yang membubarkan barisan peserta upacara pembukaan Pekan Olahraga Pelajar Daerah (Popda) Tingkat Kota Solo, yang mayoritas anak-anak untuk berteduh di tribun penonton karena hujan deras.
Baca juga:Terima Dana Hibah dari UEA, Gibran Optimis Bisa Mengentas Kawasan Kumuh 2 Tahun Lebih Cepat dari Target
Saat itu, tiba-tiba menguyur Stadion Sriwedari sehingga Gibran akhirnya menyuruh para peserta upacara untuk menepi dan masuk ke tribun.
Kemudian, ayah Jan Ethes Srinarenda itu  rela hujan-hujanan saat memberikan sambutan di depan para peserta upacara.
""Terlepas dari ini pencitraan ataugak,tapi 1 hal yang pasti , bahwa Mas Wali punya hati nurani, inilah pemimpin yg dibutuhkan dimasa depan. Dan saya yakin Indonesia akan hebat di tangan orang ini,"" cuit @BennyValentinus, pada Senin (2/1/2023).
Baca juga:Gibran: Masa Tugas Imam Masjid Sheikh Zayed Solo Tak Lebih dari Setahun, Bisa Lanjutkan Studi ke UEA
Tak disangka, beberapa jam kemudian, Gibran Rakabuming melalui akunnya itu membalas dan mengaku hal itu ia laksanakan hanya sekedar pencitraan seorang pemimpin.
""Itu pencitraan kok,"" tulis @gibran_tweet.

Pengakuan ini lah, yang menyedot warganet berkomentar. Banyak dari mereka melayangkan cuitan positif maupun negatif.
Seperti halnya, @Backry13 membalas @gibran_tweet, dengan,
""Begini aja dipermasalahkan hadeehh... Kurang kerjaan. Kalau ada hal yang positifmbokya diapresiasi, aneh!!,"" Twit-nya.
Kemudian, warganet dengan akun @edimark_ , juga membalascuitan Gibrandengan menyindir Presiden Joko Widodo (Jokowi) sekaligus ayah dari Gibran Rakabuming Raka.
""Iyo pencitraankoyokbapakmu masuk gorong gorong,"" tulis @edimark_
Mengetahui hal itu, Gibran membalas dengan santai dan singkat, atas cuitan yang menyinggung soal pencitraan gorong-gorong tersebut.
""Ya,"" balas singkat, Gibran Rakabuming Raka, pada Selasa (3/2/2023).
Merespon interaksi ini, sejumlah warganet mengapresiasi Gibran lantaran tak tersulut emosi dan menanggapi cuitan dengan gayanya yang singkat dan jelas.
""Tetap santuy,"" tulis @buduuum.
""Mas Gibran ini orangnya cool,"" cuit @AFathoniA.
""Salut dengan kesabaran Mas ini dalam menjawab nyinyiran netizen, sehat terus mas,"" tulis @Bianisme.",Kompas,2023-03-01
AKBP Bambang Kayun Diduga Terima Uang Rp 56 Miliar dan Mobil Mewah,"JAKARTA, KOMPAS.com- Perwira Polri, AKBPBambang KayunBagus PS diduga menerima suap dan gratifikasi dengan nilai total Rp 56 miliar.
Menurut KetuaKPKFirli Bahuri, sebanyak 6 miliar di antaranya terkait kasus pemalsuan surat dalam perebutan hak waris PT Aria Citra Mulia (ACM).
Sementara itu, Rp 50 miliar sisanya dari sejumlah pihak lain. Adapun ACM bergerak di bidang kepemilikan, manajemen, dan operator kapal di wilayah perairan Asia-Pasifik.
“Tersangka Bambang Kayun menerima uang secara bertahap yang diduga sebagai gratifikasi dan berhubungan dengan jabatannya dari beberapa pihak yang jumlah seluruhnya sekitar Rp 50 miliar,” kata Ketua KPK Firli Bahuri dalam konferensi pers di Gedung KPK, Selasa (3/1/2023).
Baca juga:KPK Tahan AKBP Bambang Kayun 20 Hari
Firli mengatakan, perkara ini bermula saat dua orang bernama Emilya Said dan Herwansyah dilaporkan ke Mabes Polri atas dugaan pemalsuan surat.
Salah seorang kerabat kemudian mengenalkan keduanya ke Bambang Kayun yang saat itu dimutasi sebagai Kepala Subbagian Penerapan Pidana dan HAM Bagian Penerapan Hukum pada Biro Bantuan Hukum Divisi Hukum Mabes Polri untuk berkonsultasi.
Pada Mei 2016, Emilya Said dan Herwansyah menemui Bambang Kayun di salah satu hotel di Jakarta.
“Tersangka Bambang Kayun kemudian diduga menyatakan siap membantu dengan adanya kesepakatan pemberian sejumlah uang dan barang,” ujar Firli.
Bambang Kayun kemudian menyarankan agar Emilya Said dan Herwansyah mengajukan permohonan perlindungan hukum dan keadilan karena terdapat penyimpangan penanganan perkara.
Permohonan diajukan melalui surat yang dilayangkan kepada Kepala Divisi Hukum Mabes Polri.
Bambang Kayun kemudian ditunjuk sebagai salah satu personel yang melakukan verifikasi dan klarifikasi pada Bareskrim Polri.
Baca juga:KPK Umumkan Bambang Kayun Jadi Tersangka Suap dan Gratifikasi Pemalsuan Surat Perebutan Hak Waris
Pada Oktober 2016, Divisi Hukum Mabes Polri menggelar rapat perlindungan hukum atas nama Emilya Said dan Herwansyah.
“Bambang Kayun kemudian ditugaskan untuk menyusun kesimpulan hasil rapat yang pada pokoknya menyatakan adanya penyimpangan penerapan hukum termasuk kesalahan dalam proses penyidikan,” tutur dia.
Kasus tersebut terus bergulir. Bareskrim Mabes Polri menetapkan Emilya Said dan Herwansyah sebagai tersangka.
Bambang Kayun kemudian menyarankan dua orang itu menggugat penetapan tersangka atas dirinya ke Pengadilan Negeri Jakarta Pusat (PN Jakpus).",Kompas,2023-03-01
"Karpet Merah PPP buat Romahurmuziy, Sang Mantan Terpidana Korupsi...","JAKARTA, KOMPAS.com-Romahurmuziy, mantan terpidana kasus korupsi, kembali ke kancah politik. Pria yang akrab disapa Romy itu islah dengan Partai Persatuan Pembangunan (PPP).
Tak tanggung-tanggung, Romy diberi jabatan sebagai Ketua Majelis Pertimbangan DPP PPP periode 2020-2025.
Bahkan, PPP tak menutup pintu bagi Romy jika hendak mencalonkan diri sebagai anggota legislatif Pemilu 2024.
Langkah Partai Kabah itu pun langsung banjir kritik. PPP dinilai permisif dengan perilaku koruptif.
Baca juga:Kilas Balik Romahurmuziy: Besar di PPP, Terjerat Korupsi dan Kembali Islah dengan Partai
Karier Romahurmuziy di panggung politik sempat terhenti karena terjegal kasus korupsi jual beli jabatan di lingkungan Kementerian Agama (Kemenag) pada Maret 2019.
Saat itu, Romy yang menjabat sebagai Ketua Umum PPP pun langsung mundur dari jabatannya.
Dalam kasus ini, Romy terbukti menerima suap senilai Rp 255 juta dari mantan Kakanwil Kemenag Jawa Timur Haris Hasanuddin. Dia juga terbukti menerima uang dari mantan Kepala Kantor Kemenag Gresik Muafaq Wirahadi sebesar Rp 50 juta.
Pemberian itu dimaksudkan agar Romy bisa memengaruhi proses seleksi jabatan yang diikuti keduanya di lingkungan Kemenag.
Baca juga:Romahurmuziy Islah dengan PPP, Diberi Jabatan Ketua Majelis Pertimbangan
Romy pun divonis 2 tahun penjara oleh Pengadilan Tindak Pidana Korupsi (Tipikor). Namun, di tingkat banding, hukumannya dipangkas menjadi satu tahun oleh Pengadilan Tinggi DKI Jakarta.
Setelah mendekam di balik jeruji besi selama kurang lebih setahun, Romy menghirup udara bebas pada 29 April 2020.
Lama tak terlihat, tiba-tiba muncul kabar Romy kembali bergabung ke PPP. Kabar ini pun dibenarkan oleh Ketua DPP PPP Achmad Baidowi.
Awiek, demikian sapaan akrab Achmad Baidowi, menyebut bahwa partainya telah mempertimbangkan matang-matang keputusan untuk menerima kembali Romy, bahkan menempatkan mantan terpidana korupsi itu di jabatan strategis partai.
""Pertama, beliau sudah bebas sejak 3 tahun yang lalu, sudah 3 tahun yang lalu ini sudah bebas. Berdasarkan putusan kasasi beliau hanya divonis satu tahun,"" kata Awiek kepadaKompas.com, Senin (2/1/2023).
Alasan lainnya, kata Awiek, putusan pengadilan tidak mencabut hak politik Romy. Sebab, Romy hanya dituntut hukuman 4 tahun, sementara pencabutan hak politik dijatuhkan ke tersangka dengan ancaman hukuman di atas 5 tahun.
""Jadi sah-sah saja beliau kemudian kembali ke politik,"" ujar Awiek.
Baca juga:M Romahurmuziy Jadi Ketua Majelis Pertimbangan, PPP: Sah-sah Saja",Kompas,2023-03-01
"Hasil Pertemuan Gibran dan Pihak Keraton Solo: Dua Kubu Bersatu, Sangga Buwana Prioritas Pembangunan","KOMPAS.com- Pertemuan Wali Kota Solo,Gibran Rakabuming Raka, dengan pihak Keraton Kasunanan Surakarta Hadiningrat di Loji Gandrung berakhir usai berlangsung selama sekitar 1,5 jam.
Dalam pertemuan tertutup yang dimulai pada Rabu (4/1/2023) pukul 12.34 WIB itu, turut hadir Paku Buwono XIII beserta istrinya, GKR Pakubuwana XIII, dan putra Mahkota, KGPH Purbaya.
Selain itu, GKR Wandansari Koes Moertiyah atau Gusti Moeng serta kerabat juga tampak datang ke pertemuan tersebut.
Salah satu hasil pertemuan tersebut adalah bersatunya dua kubu di dalam Keraton Solo yang selama ini berseteru.
Baca juga:Keluarga Keraton Solo Tiba di Loji Gandrung, Gibran Langsung Cium Tangan PB XIII
GKR Pakubuwana XIII mengatakan, kubu suaminya, Paku Buwono XIII, dengan kubu Gusti Moeng sekarang telah bersatu.
""(Sudah) tidak ada apa-apa juga,"" kata GKR Pakubuwana XIII, dikutip dari Tribunnews.com, Rabu (4/1/2023).
Dia menyampaikan, semua elemen dan kerabat Keraton Kasunanan Surakarta Hadiningrat akan membantu Paku Buwono XIII dalam mengelola dan mengembangkan Keraton Solo.
""Semua saudara dan putra-putri siap mengikuti perintah Sinuhun,"" ujar GKR Pakubuwana XIII.
Nantinya, GKR Pakubuwana XIII menambahkan, semua pihak di dalam Keraton Solo akan mendapatkan perintah dari Paku Buwono XIII.
Baca juga:Gibran dan Keluarga Keraton Solo Bakal Bertemu di Loji Gandrung, Ini yang Akan Dibahas
""Rayi-rayi Dalem dari enam ibu akan dirangkul semua dan semua saudara-saudara akan ada perintah dari Sinuhun,"" jelasnya.
GKR Pakubuwana XIII menuturkan, saat ini pihaknya menunggu Pemerintah Kota (Pemkot) Solo untuk memulai proses pembangunan keraton.
""Sinuhun menunggu Pemkot Solo untuk pembangunan keraton,"" ungkapnya.
Sementara itu, Gusti Moeng melanjutkan, pembangunan Keraton Kasunanan Surakarta Hadiningrat nantinya diharapkan bisa memprioritaskan salah satu bangunan.
""Yang paling utama adalah Panggung Sangga Buwana, itu yang kami bicarakan hari ini,"" ujar Gusti Moeng.
Baca juga:Gibran Makan Siang dengan PB XIII dan Kerabat di Loji Gandrung, Permaisuri: Guyub Rukun
Dia pun mendoakan agar rencana Gibran membangun Keraton Solo bisa terwujud dan berjalan lancar.",Kompas,2023-04-01
